Codigo,Vereda,Dirección,Avaluo,Predial
10001000,1,SAN ISIDRO VDA HUERTAS CHICA,6810000,151040000000000000000000000000
10002000,1,LA ESPERANZA VDA HUERTA CHICA,9200000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10003000,1,LA VEGA SANTA CATALINA VDA HUERTA,8011000,151040000000000000000000000000
10004000,1,ROPERO VDA HUERTA CHICA,4160000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10005000,1,PENA LIZA VDA HUERTA CHICA,2229000,151040000000000000000000000000
10006000,1,ESPANA VDA HUERTA CHICA,2024000,151040000000000000000000000000
10007000,1,GIRARDOT VDA HUERTA CHICA,1392000,151040000000000000000000000000
10008000,1,LA PALMA VDA HUERTA CHICA,2881000,151040000000000000000000000000
10009000,1,CAMPOHERMOSO VDA HUERTA CHICA,690000,151040000000000000000000000000
10009000,1,CAMPOHERMOSO VDA HUERTA CHICA,690000,151040000000000000000000000000
10009000,1,CAMPOHERMOSO VDA HUERTA CHICA,690000,151040000000000000000000000000
10010000,1,EL CURUBO VDA HUERTA CHICA,804000,151040000000000000000000000000
10011000,1,LA LAGUNA VDA HUERTA CHICA,13337000,151040000000000000000000000000
10012000,1,HUERTA CHICA VDA HUERTA CHICA,1627000,151040000000000000000000000000
10012000,1,HUERTA CHICA VDA HUERTA CHICA,1627000,151040000000000000000000000000
10013000,1,AGUA CALIENTE VDA HUERTA CHICA,1173000,151040000000000000000000000000
10013000,1,AGUA CALIENTE VDA HUERTA CHICA,1173000,151040000000000000000000000000
