Codigo,Vereda,Avaluo,Predial
10001000,1,6810000,34050.0
10002000,1,9200000,46000.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10003000,1,8011000,40055.0
10004000,1,4160000,20800.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10005000,1,2229000,11145.0
10006000,1,2024000,10120.0
10007000,1,1392000,6960.0
10008000,1,2881000,14405.0
10009000,1,690000,3450.0
10009000,1,690000,3450.0
10009000,1,690000,3450.0
10010000,1,804000,4020.0
10011000,1,13337000,66685.0
10012000,1,1627000,8135.0
10012000,1,1627000,8135.0
10013000,1,1173000,5865.0
10013000,1,1173000,5865.0
10014000,1,2468000,12340.0
10015000,1,2931000,14655.0
10015000,1,2931000,14655.0
10015000,1,2931000,14655.0
10017000,1,1522000,7610.0
10018000,1,1995000,9975.0
10019000,1,2701000,13505.0
10020000,1,934000,4670.0
10021000,1,1783000,8915.0
10022000,1,6301000,31505.0
10022000,1,6301000,31505.0
10023000,1,615000,3075.0
10024000,1,4729000,23645.0
10024000,1,4729000,23645.0
10025000,1,50594000,252970.0
10026000,1,3932000,19660.0
10027000,1,874000,4370.0
10028000,1,9807000,49035.0
10029000,1,6572000,32860.0
10030000,1,14284000,71420.0
10031000,1,10469000,52345.0
10032000,1,18255000,91275.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10033000,1,2468000,12340.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10034000,1,1522000,7610.0
10035000,1,15605000,78025.0
10036000,1,6548000,32740.0
10037000,1,7336000,36680.0
10038000,1,15417000,77085.0
10039000,1,10151000,50755.0
10040000,1,6207000,31035.0
10041000,1,5681000,28405.0
10043000,1,2468000,12340.0
10043000,1,2468000,12340.0
10044000,1,9725000,48625.0
10045000,1,40570000,202850.0
10046000,1,64541000,322705.0
10047000,1,3132000,15660.0
10047000,1,3132000,15660.0
10048000,1,7442000,37210.0
10048000,1,7442000,37210.0
10049000,1,6485000,32425.0
10049000,1,6485000,32425.0
10049000,1,6485000,32425.0
10049000,1,6485000,32425.0
10049000,1,6485000,32425.0
10050000,1,22337000,111685.0
10053000,1,8547000,42735.0
10054000,1,211000,1055.0
10055000,1,5807000,29035.0
10057000,1,2333000,11665.0
10058000,1,3570000,17850.0
10060000,1,6661000,33305.0
10061000,1,6288000,31440.0
10062000,1,4610000,23050.0
10063000,1,19773000,98865.0
10064000,1,21712000,108560.0
10064000,1,21712000,108560.0
10064000,1,21712000,108560.0
10064000,1,21712000,108560.0
10064000,1,21712000,108560.0
10066000,1,3480000,17400.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10067000,1,8801000,44005.0
10068000,1,6455000,32275.0
10069000,1,5866000,29330.0
10069000,1,5866000,29330.0
10070000,1,7038000,35190.0
10071000,1,11316000,56580.0
10072000,1,8216000,41080.0
10073000,1,12321000,61605.0
10074000,1,28248000,141240.0
10075000,1,19047000,95235.0
10076000,1,26821000,134105.0
10077000,1,609000,3045.0
10078000,1,606000,3030.0
10079000,1,786000,3930.0
20001000,2,8011000,40055.0
20002000,2,15615000,78075.0
20003000,2,5080000,25400.0
20004000,2,3700000,18500.0
20005000,2,1676000,8380.0
20006000,2,481000,2405.0
20007000,2,1328000,6640.0
20008000,2,325000,1625.0
20009000,2,7122000,35610.0
20010000,2,17486000,87430.0
20010001,2,332000,1660.0
20011000,2,11582000,57910.0
20012000,2,6812000,34060.0
20013000,2,3775000,18875.0
20014000,2,18243000,91215.0
20015000,2,15193000,75965.0
20016000,2,4067000,20335.0
20017000,2,2303000,11515.0
20018000,2,3142000,15710.0
20019000,2,6642000,33210.0
20019000,2,6642000,33210.0
20019000,2,6642000,33210.0
20020000,2,6910000,34550.0
20021000,2,2053000,10265.0
20022000,2,986000,4930.0
20023000,2,968000,4840.0
20023000,2,968000,4840.0
20024000,2,1089000,5445.0
20025000,2,1261000,6305.0
20026000,2,7966000,39830.0
20026000,2,7966000,39830.0
20026000,2,7966000,39830.0
20026000,2,7966000,39830.0
20027000,2,15505000,77525.0
20028000,2,9696000,48480.0
20029000,2,7174000,35870.0
20030000,2,8916000,44580.0
20031000,2,420000,2100.0
20032000,2,13411000,67055.0
20032000,2,13411000,67055.0
20032000,2,13411000,67055.0
20032000,2,13411000,67055.0
20032001,2,1785000,8925.0
20032001,2,1785000,8925.0
20033000,2,378000,1890.0
20034000,2,2175000,10875.0
20034000,2,2175000,10875.0
20035000,2,3184000,15920.0
20036000,2,713000,3565.0
20036000,2,713000,3565.0
20038000,2,3353000,16765.0
20039000,2,1757000,8785.0
20040000,2,3270000,16350.0
20041000,2,1963000,9815.0
20042000,2,1677000,8385.0
20043000,2,20638000,103190.0
20043000,2,20638000,103190.0
20044000,2,5308000,26540.0
20044000,2,5308000,26540.0
20045000,2,1634000,8170.0
20046000,2,1261000,6305.0
20047000,2,1761000,8805.0
20047000,2,1761000,8805.0
20047000,2,1761000,8805.0
20047000,2,1761000,8805.0
20048000,2,4738000,23690.0
20048000,2,4738000,23690.0
20049000,2,2223000,11115.0
20050000,2,4610000,23050.0
20050000,2,4610000,23050.0
20050000,2,4610000,23050.0
20050000,2,4610000,23050.0
20050000,2,4610000,23050.0
20050000,2,4610000,23050.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20051000,2,1260000,6300.0
20052000,2,2598000,12990.0
20053000,2,1009000,5045.0
20054000,2,1522000,7610.0
20054000,2,1522000,7610.0
20055000,2,2962000,14810.0
20055000,2,2962000,14810.0
20055000,2,2962000,14810.0
20056000,2,4675000,23375.0
20057000,2,2850000,14250.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20058000,2,2246000,11230.0
20059000,2,8248000,41240.0
20060000,2,4707000,23535.0
20061000,2,7122000,35610.0
20061000,2,7122000,35610.0
20061000,2,7122000,35610.0
20061000,2,7122000,35610.0
20061000,2,7122000,35610.0
20062000,2,3228000,16140.0
20063000,2,1473000,7365.0
20064000,2,1582000,7910.0
20065000,2,838000,4190.0
20066000,2,1522000,7610.0
20067000,2,1386000,6930.0
20067000,2,1386000,6930.0
20068000,2,1676000,8380.0
20069000,2,879000,4395.0
20070000,2,6537000,32685.0
20071000,2,4110000,20550.0
20072000,2,3524000,17620.0
20073000,2,13188000,65940.0
20073000,2,13188000,65940.0
20074000,2,3050000,15250.0
20074000,2,3050000,15250.0
20074001,2,241000,1205.0
20075000,2,4110000,20550.0
20075000,2,4110000,20550.0
20076000,2,2701000,13505.0
20077000,2,5215000,26075.0
20079000,2,8214000,41070.0
20080000,2,1879000,9395.0
20081000,2,13497000,67485.0
20082000,2,2875000,14375.0
20083000,2,3345000,16725.0
20083000,2,3345000,16725.0
20083000,2,3345000,16725.0
20083000,2,3345000,16725.0
20083000,2,3345000,16725.0
20084000,2,748000,3740.0
20085000,2,1522000,7610.0
20086000,2,2407000,12035.0
20087000,2,2108000,10540.0
20088000,2,2468000,12340.0
20089000,2,1879000,9395.0
20090000,2,13251000,66255.0
20091000,2,11156000,55780.0
20091000,2,11156000,55780.0
20091000,2,11156000,55780.0
20091000,2,11156000,55780.0
20091000,2,11156000,55780.0
20091000,2,11156000,55780.0
20091001,2,2682000,13410.0
20092000,2,822000,4110.0
20092000,2,822000,4110.0
20092000,2,822000,4110.0
